use_async,use_mmap,use_parallel,cold_cache,repeat,duration
true,true,true,true,0,1.595
true,true,true,false,0,0.069
true,false,true,true,0,0.336
true,false,true,false,0,0.170
true,false,false,true,0,0.426
true,false,false,false,0,0.278
false,true,true,true,0,0.612
false,true,true,false,0,0.027
false,true,false,true,0,1.738
false,true,false,false,0,0.072
false,false,true,true,0,0.317
false,false,true,false,0,0.043
false,false,false,true,0,0.395
false,false,false,false,0,0.160
true,true,true,true,1,1.990
true,true,true,false,1,0.074
true,false,true,true,1,0.321
true,false,true,false,1,0.205
true,false,false,true,1,0.432
true,false,false,false,1,0.203
false,true,true,true,1,0.472
false,true,true,false,1,0.034
false,true,false,true,1,2.114
false,true,false,false,1,0.078
false,false,true,true,1,0.321
false,false,true,false,1,0.112
false,false,false,true,1,0.399
false,false,false,false,1,0.077
true,true,true,true,2,2.030
true,true,true,false,2,0.074
true,false,true,true,2,0.318
true,false,true,false,2,0.171
true,false,false,true,2,0.390
true,false,false,false,2,0.222
false,true,true,true,2,0.630
false,true,true,false,2,0.027
false,true,false,true,2,1.763
false,true,false,false,2,0.063
false,false,true,true,2,0.327
false,false,true,false,2,0.044
false,false,false,true,2,0.397
false,false,false,false,2,0.084
true,true,true,true,3,2.258
true,true,true,false,3,0.087
true,false,true,true,3,0.334
true,false,true,false,3,0.118
true,false,false,true,3,0.427
true,false,false,false,3,0.210
false,true,true,true,3,0.404
false,true,true,false,3,0.038
false,true,false,true,3,2.023
false,true,false,false,3,0.065
false,false,true,true,3,0.315
false,false,true,false,3,0.047
false,false,false,true,3,0.394
false,false,false,false,3,0.078
true,true,true,true,4,2.163
true,true,true,false,4,0.065
true,false,true,true,4,0.321
true,false,true,false,4,0.150
true,false,false,true,4,0.416
true,false,false,false,4,0.229
false,true,true,true,4,0.533
false,true,true,false,4,0.027
false,true,false,true,4,2.568
false,true,false,false,4,0.065
false,false,true,true,4,0.320
false,false,true,false,4,0.064
false,false,false,true,4,0.393
false,false,false,false,4,0.089
true,true,true,true,5,1.951
true,true,true,false,5,0.073
true,false,true,true,5,0.341
true,false,true,false,5,0.151
true,false,false,true,5,0.409
true,false,false,false,5,0.221
false,true,true,true,5,0.578
false,true,true,false,5,0.028
false,true,false,true,5,2.372
false,true,false,false,5,0.072
false,false,true,true,5,0.316
false,false,true,false,5,0.034
false,false,false,true,5,0.388
false,false,false,false,5,0.086
true,true,true,true,6,2.127
true,true,true,false,6,0.073
true,false,true,true,6,0.322
true,false,true,false,6,0.123
true,false,false,true,6,0.432
true,false,false,false,6,0.262
false,true,true,true,6,0.399
false,true,true,false,6,0.039
false,true,false,true,6,2.521
false,true,false,false,6,0.075
false,false,true,true,6,0.317
false,false,true,false,6,0.042
false,false,false,true,6,0.367
false,false,false,false,6,0.093
true,true,true,true,7,1.961
true,true,true,false,7,0.083
true,false,true,true,7,0.314
true,false,true,false,7,0.150
true,false,false,true,7,0.493
true,false,false,false,7,0.189
false,true,true,true,7,0.433
false,true,true,false,7,0.030
false,true,false,true,7,1.661
false,true,false,false,7,0.066
false,false,true,true,7,0.321
false,false,true,false,7,0.038
false,false,false,true,7,0.382
false,false,false,false,7,0.076
true,true,true,true,8,2.274
true,true,true,false,8,0.090
true,false,true,true,8,0.317
true,false,true,false,8,0.115
true,false,false,true,8,0.559
true,false,false,false,8,0.216
false,true,true,true,8,0.500
false,true,true,false,8,0.029
false,true,false,true,8,2.258
false,true,false,false,8,0.075
false,false,true,true,8,0.326
false,false,true,false,8,0.048
false,false,false,true,8,0.371
false,false,false,false,8,0.075
true,true,true,true,9,1.998
true,true,true,false,9,0.064
true,false,true,true,9,0.325
true,false,true,false,9,0.129
true,false,false,true,9,0.415
true,false,false,false,9,0.216
false,true,true,true,9,0.593
false,true,true,false,9,0.027
false,true,false,true,9,1.942
false,true,false,false,9,0.076
false,false,true,true,9,0.315
false,false,true,false,9,0.034
false,false,false,true,9,0.393
false,false,false,false,9,0.093
